Names,Village,Monthly Income,Family Members,Connected to grid,Why not connected to grid?,Electricity available per day(in hrs),Electrical appliances,Mobile Charger(Wh),5W LED Torch,10W LED Torch,5W LED Bulb(Wh),10W LED Bulb(Wh),45W Fan(Wh),55W TV(Wh),130W Fridge(Wh),Source of fuel for  cooking,Electric meter,Electric bill of last month,Power cuts per week,Voltage problems if any,Worst months for service from the grid,Household members affected,Serious problems you experience with grid electricity,How often you pay for electricity bill,Who do you pay,How do you make your payment,Household members die because of the grid electricity,Solar devices,Why no Solar?,Solar Usage (Months),Cost of Solar,Savings after installing a solar light,Willing to shift to solar applicanes,Rechargeable batteries,Use of batteries,Cost of rechargeable battery,Electricity source to recharge the battery,Did you use KEROSENE/FUEL-BASED /CANDLE LIGHTING,Fuel source for LAMP,How often the [FUEL TYPE] available,How many months does it rain,Maximum temperature in Summer,Minimum temperature in Winter,Why no solar?,Capacity(Wh),Units Monthly,Capacity Tier,Availabilty Tier,Reliability Tier,Quality Tier,Affordability Tier,Legality Tier,Health & Safety Tier,Tier Ranking
Kimberly Wilkerson,Village 3,8724,5,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,16,Electrical applicances getting affected,"['March', 'February', 'December']","['Machines/appliances were damaged', 'Could not charge a phone']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Landlord,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1354,Grid,No,Diesel,Always available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,3,2
Denice Mobley,Village 2,11319,7,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,Kerosene,Yes,160.42568,4,Fluctuations,"['June', 'February', 'October']","['Machines/appliances were damaged', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Weekly,Landlord,Online,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1820,Shop,No,Biogas,Rarely available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,5,5,5,0
Hillary Roland,Village 1,7879,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,Fluctuations,"['September', 'January', 'March']","['Machines/appliances were damaged', 'Could not operate a household business']","['Maintenance/service problems', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Kerosene,Always available,4,42,10,Initial investment is high,1210,36.3,3,4,4,3,5,5,3,3
Stephen Chan,Village 3,7540,4,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,16,Long Power Cuts,"['August', 'January', 'June']","['Could not operate a household business', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,Pre-paid meter card seller,Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1919,Grid,No,Biogas,Rarely available,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,5,5,5,2
Reginald Watkins,Village 4,6212,4,No,Connection cost is very high,5,5,15,0,20,20,40,180,0,0,Kerosene,No,162.9887,20,No Problem,"['December', 'February', 'April']","['Could not charge a phone', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Weekly,No one (for free),Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,376,Grid,No,Biogas,Rarely available,4,42,10,Initial investment is high,275,8.25,2,2,3,5,2,3,3,2
David Watts,Village 3,5604,6,Yes,Already Connected,4,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,16,Long Power Cuts,"['June', 'May', 'April']","['Children could not study', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Weekly,Landlord,Pay at the utility office,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1427,Grid,Yes,NA,NA,4,42,10,Initial investment is high,515,15.45,2,2,3,3,2,5,3,2
Dustin Seymour,Village 4,3324,3,No,Connection cost is very high,5,4,15,10,0,20,40,0,0,0,Kerosene,No,130.52378,20,No Problem,"['May', 'October', 'March']","['Could not operate a household business', 'Children could not study']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,No one (for free),Online,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1739,Shop,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,3,5,1
Scott Lusk,Village 4,13339,7,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,LPG,Yes,203.99702,20,Fluctuations,"['August', 'May', 'January']","['Could not operate a household business', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Pre-paid meter card seller,Online,No,Yes,Already using,More than a year,1495,1112,Already using,Yes,Appliances,202,Solar,No,Kerosene,Rarely available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,5,5,2
Jeffrey Phuong,Village 3,10579,8,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1787,Shop,No,Biogas,Rarely available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Jewell Loring,Village 4,12212,7,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,More than a year,2489,1067,Already using,Yes,Lighting,219,Shop,No,Diesel,Always available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Melissa Sturman,Village 4,8423,6,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,20,Fluctuations,"['September', 'March', 'December']","['Machines/appliances were damaged', 'Could not charge a phone']","['Maintenance/service problems', 'Unexpectedly high bills']",Weekly,Pre-paid meter card seller,Cash,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,865,Shop,No,Diesel,Always available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,5,3,2
Nicole Staley,Village 2,10304,8,Yes,Already Connected,3,9,10,0,20,20,20,90,110,390,LPG,Yes,228.77288,4,Fluctuations,"['August', 'September', 'October']","['Machines/appliances were damaged', 'Children could not study']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Monthly,Pre-paid meter card seller,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1711,Shop,No,Kerosene,Always available,4,42,10,Initial investment is high,660,19.8,2,0,4,3,5,5,3,0
Kevin Robinson,Village 1,10582,8,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,NA,NA,Shop,No,Diesel,Rarely available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Lori King,Village 1,4412,3,Yes,Already Connected,22,4,30,10,0,50,80,0,0,0,Kerosene,Yes,145.04756,8,No Problem,"['January', 'April', 'November']","['Could not cook', 'Children could not study']","['Unexpectedly high bills', 'Maintenance/service problems']",Weekly,Landlord,Cash,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Kerosene,Rarely available,4,42,10,Low income,170,5.1,1,4,4,5,2,5,3,1
Joseph Dailey,Village 2,10107,7,No,Can't afford electricity bill,3,7,10,0,10,20,20,90,110,0,LPG,No,160.42568,4,Fluctuations,"['October', 'August', 'June']","['Could not charge a phone', 'Could not operate a household business']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Cash,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1303,Grid,No,Biogas,Sometimes available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,5,3,5,0
Shirley Raby,Village 3,3477,3,No,Can't afford electricity bill,4,4,15,10,0,20,40,0,0,0,Kerosene,No,130.52378,16,Fluctuations,"['April', 'June', 'March']","['Could not charge a phone', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1206,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,3,2,3,3,1
Emma Thomas,Village 2,14528,8,No,Connection cost is very high,3,9,10,0,20,20,20,90,110,390,LPG,No,228.77288,4,Long Power Cuts,"['March', 'September', 'February']","['Children could not study', 'Could not charge a phone']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Online,Yes,Yes,Already using,6-12 months,1320,1214,Already using,Yes,Lighting,558,Solar,No,Kerosene,Always available,4,42,10,Initial investment is high,660,19.8,2,0,4,3,5,3,3,0
Victoria Worley,Village 3,5233,6,Yes,Already Connected,4,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,16,Electrical applicances getting affected,"['December', 'October', 'September']","['Children could not study', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Weekly,Pre-paid meter card seller,Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1106,Shop,Yes,NA,NA,4,42,10,Initial investment is high,515,15.45,2,2,3,3,2,5,5,2
Mark Jordan,Village 4,7050,5,No,Can't afford electricity bill,5,5,15,0,20,20,40,180,0,0,LPG,No,162.9887,20,Fluctuations,"['December', 'January', 'November']","['Children could not study', 'Could not operate a household business']","['Maintenance/service problems', 'Unexpectedly high bills']",Weekly,No one (for free),Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1243,Shop,No,Biogas,Rarely available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,3,3,2
Odell Garcia,Village 3,8781,5,No,Connection cost is very high,4,5,15,0,20,20,40,180,0,0,Kerosene,No,162.9887,16,Electrical applicances getting affected,"['March', 'February', 'April']","['Could not cook', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,No one (for free),Online,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1843,Shop,No,Diesel,Sometimes available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,3,5,2
Ronald Kochan,Village 1,11190,8,No,Can't afford electricity bill,22,9,30,0,40,100,80,540,440,2860,LPG,No,1292.36176,8,Electrical applicances getting affected,"['May', 'April', 'October']","['Could not operate a household business', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Biogas,Rarely available,4,42,10,Initial investment is high,4090,122.7,4,4,4,3,5,3,5,3
Michael Jung,Village 2,11120,8,Yes,Already Connected,3,9,10,0,20,20,20,90,110,390,Kerosene,Yes,228.77288,4,No Problem,"['November', 'April', 'September']","['Children could not study', 'Could not charge a phone']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Weekly,Community/village/municipality,Pay at the utility office,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,688,Shop,No,Kerosene,Rarely available,4,42,10,No subsidies are provided,660,19.8,2,0,4,5,5,5,3,0
Patrick Thomas,Village 4,4261,2,Yes,Already Connected,5,3,15,10,0,20,0,0,0,0,Kerosene,Yes,123.68906,20,Fluctuations,"['September', 'October', 'November']","['Could not cook', 'Could not operate a household business']","['Unexpectedly high bills', 'Maintenance/service problems']",Monthly,Pre-paid meter card seller,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1360,Grid,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,3,2,5,3,1
Ali Woodard,Village 2,14903,8,Yes,Already Connected,3,9,10,0,20,20,20,90,110,390,LPG,Yes,228.77288,4,Long Power Cuts,"['October', 'November', 'August']","['Machines/appliances were damaged', 'Children could not study']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Weekly,Landlord,Pay at the utility office,No,Yes,Already using,6-12 months,1669,685,Already using,Yes,Appliances,401,Solar,No,Biogas,Rarely available,4,42,10,No subsidies are provided,660,19.8,2,0,4,3,5,5,5,0
Alejandro Bush,Village 1,10358,8,Yes,Already Connected,22,9,30,0,40,100,80,540,440,2860,LPG,Yes,1292.36176,8,Long Power Cuts,"['November', 'March', 'September']","['Machines/appliances were damaged', 'Could not operate a household business']","['Maintenance/service problems', 'Unexpectedly high bills']",Monthly,Landlord,Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Kerosene,Rarely available,4,42,10,Initial investment is high,4090,122.7,4,4,4,3,5,5,5,3
Antonio Baldwin,Village 4,3206,2,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1499,Shop,Yes,NA,NA,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Paula Cochran,Village 2,5968,4,No,Can't afford electricity bill,3,5,10,0,10,10,20,90,0,0,LPG,No,139.92152,4,No Problem,"['January', 'September', 'December']","['Could not operate a household business', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Weekly,No one (for free),Pay at the utility office,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1033,Grid,Yes,NA,NA,4,42,10,No subsidies are provided,140,4.2,1,0,4,5,2,3,5,0
Paul Mack,Village 1,12974,7,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,Fluctuations,"['April', 'June', 'October']","['Could not cook', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,Community/village/municipality,Online,Yes,Yes,Already using,3-6 months,536,698,Already using,No,NA,NA,NA,No,Biogas,Sometimes available,4,42,10,Initial investment is high,1210,36.3,3,4,4,3,5,5,3,3
Dorothy Lee,Village 2,14261,8,Yes,Already Connected,3,9,10,0,20,20,20,90,110,390,Kerosene,Yes,228.77288,4,No Problem,"['September', 'June', 'February']","['Could not charge a phone', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,Community/village/municipality,Cash,Yes,Yes,Already using,1-3 months,1962,1436,Already using,Yes,Lighting,306,Solar,No,Biogas,Always available,4,42,10,No subsidies are provided,660,19.8,2,0,4,5,5,5,3,0
Alice Lacy,Village 1,3042,3,No,Can't afford electricity bill,22,4,30,10,0,50,80,0,0,0,LPG,No,145.04756,8,Electrical applicances getting affected,"['April', 'February', 'May']","['Children could not study', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,No one (for free),Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Rarely available,4,42,10,Low income,170,5.1,1,4,4,3,2,3,5,1
David Blenden,Village 4,14876,7,No,Connection cost is very high,5,7,15,0,20,40,40,180,220,0,Kerosene,No,203.99702,20,No Problem,"['March', 'September', 'June']","['Could not cook', 'Could not operate a household business']","['Unexpectedly high bills', 'Maintenance/service problems']",Monthly,No one (for free),Online,No,Yes,Already using,1-3 months,657,1367,Already using,Yes,Lighting,697,Solar,No,Diesel,Always available,4,42,10,Initial investment is high,515,15.45,2,2,3,5,5,3,5,2
Amy Machenry,Village 3,7999,4,No,Connection cost is very high,4,5,15,0,20,20,40,180,0,0,LPG,No,162.9887,16,Long Power Cuts,"['December', 'November', 'March']","['Could not cook', 'Could not operate a household business']","['Unexpectedly high bills', 'Maintenance/service problems']",Monthly,No one (for free),Cash,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Lighting,459,Grid,No,Kerosene,Rarely available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,3,5,2
Matthew Taylor,Village 4,5824,6,No,Can't afford electricity bill,5,7,15,0,20,40,40,180,220,0,LPG,No,203.99702,20,Long Power Cuts,"['January', 'May', 'November']","['Children could not study', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,No one (for free),Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1476,Grid,Yes,NA,NA,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,2,3,5,2
Albert Bostic,Village 2,9821,5,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,813,Shop,No,Diesel,Always available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
